filename,width,height,class,xmin,ymin,xmax,ymax
frame23.jpg,640,360,frame,240,24,312,155
frame16.jpg,640,360,frame,202,158,283,281
frame9.jpg,640,360,frame,173,33,272,150
frame17.jpg,640,360,frame,276,1,348,111
frame15.jpg,640,360,frame,247,10,326,147
frame33.jpg,640,360,frame,291,105,346,184
frame29.jpg,640,360,frame,223,59,338,181
frame3.jpg,640,360,frame,186,95,416,360
frame2.jpg,640,360,frame,212,1,468,360
frame1.jpg,640,360,frame,219,1,443,300
frame4.jpg,640,360,frame,245,19,338,169
frame13.jpg,640,360,frame,229,155,370,290
frame28.jpg,640,360,frame,222,66,337,195
frame5.jpg,640,360,frame,149,50,420,360
frame31.jpg,640,360,frame,273,25,341,145
frame14.jpg,640,360,frame,282,2,364,108
frame26.jpg,640,360,frame,214,4,463,338
frame21.jpg,640,360,frame,226,25,405,274
frame34.jpg,640,360,frame,308,58,370,202
frame12.jpg,640,360,frame,257,1,444,333
frame35.jpg,640,360,frame,233,42,300,147
frame32.jpg,640,360,frame,230,108,389,339
frame10.jpg,640,360,frame,232,1,449,360
frame30.jpg,640,360,frame,84,1,412,360
frame18.jpg,640,360,frame,257,41,322,141
frame20.jpg,640,360,frame,213,97,400,356
frame7.jpg,640,360,frame,280,84,352,187
frame8.jpg,640,360,frame,87,14,409,360
frame36.jpg,640,360,frame,285,68,345,154
frame27.jpg,640,360,frame,185,138,262,251
frame6.jpg,640,360,frame,285,76,365,179
